"","ID","Question","Response","PostValue"
"258","4740","Q08","mass/volume",1
"259","4743","Q08","mass/volume",1
"260","4746","Q08","mass/volume",1
"261","4748","Q08","volume/mass",0
"262","4750","Q08","mass/volume",1
"263","4752","Q08","mass/volume",1
"264","4753","Q08","volume/mass",0
"265","4754","Q08","mass/volume",1
"266","4755","Q08","mass/volume",1
"267","4756","Q08","mass/volume",1
"268","4757","Q08","mass/volume",1
"269","4758","Q08","volume/mass",0
"270","4760","Q08","mass/volume",1
"271","4761","Q08","mass/volume",1
"272","4762","Q08","volume/mass",0
"273","4763","Q08","mass/volume",1
"274","4764","Q08","mass/volume",1
"275","4765","Q08","mass/volume",1
"276","4767","Q08","mass/volume",1
"277","4768","Q08","mass/volume",1
"278","4770","Q08","mass/volume",1
"279","4771","Q08","mass/volume",1
"280","4773","Q08","mass/volume",1
"281","4775","Q08","mass/volume",1
"282","4777","Q08","mass/volume",1
"283","4778","Q08","volume/mass",0
"284","4779","Q08","mass/volume",1
"285","4780","Q08","mass/volume",1
"286","4781","Q08","volume/mass",0
"287","4782","Q08","mass/volume",1
"288","4783","Q08","mass/volume",1
"289","4784","Q08","mass/volume",1
"290","4785","Q08","mass/volume",1
"291","4786","Q08","mass/volume",1
"292","4787","Q08","mass/volume",1
"293","4789","Q08","mass/volume",1
"294","4795","Q08","mass/volume",1
"295","4799","Q08","mass/volume",1
"296","4801","Q08","mass/volume",1
"297","4802","Q08","mass/volume",1
"298","4803","Q08","mass/volume",1
"299","4805","Q08","mass/volume",1
"300","4806","Q08","mass/volume",1
"301","4807","Q08","mass/volume",1
"302","4813","Q08","mass/volume",1
"303","4814","Q08","mass/volume",1
"304","4815","Q08","mass/volume",1
"305","4816","Q08","volume/mass",0
"306","4817","Q08","volume/mass",0
"307","4819","Q08","volume/mass",0
"308","4821","Q08","mass/volume",1
"309","4822","Q08","volume/mass",0
"310","4824","Q08","mass X volume",0
"311","4825","Q08","volume/mass",0
"312","4826","Q08","mass/volume",1
"313","4828","Q08","mass/volume",1
"314","4829","Q08","mass/volume",1
"315","4830","Q08","mass/volume",1
"316","4831","Q08","mass/volume",1
"317","4832","Q08","mass X volume",0
"318","4833","Q08","volume/mass",0
"319","4836","Q08","mass/volume",1
"320","4838","Q08","mass/volume",1
"321","4839","Q08","volume/mass",0
"322","4841","Q08","mass/volume",1
"323","4845","Q08","mass/volume",1
"324","4846","Q08","mass/volume",1
"325","4848","Q08","mass/volume",1
"326","4850","Q08","mass/volume",1
"327","4855","Q08","mass/volume",1
"328","4860","Q08","volume/mass",0
"329","4861","Q08","volume/mass",0
"330","4862","Q08","mass/volume",1
"331","4863","Q08","mass/volume",1
"332","4868","Q08","mass/volume",1
"333","4869","Q08","mass/volume",1
"334","4870","Q08","mass/volume",1
"335","4871","Q08","mass/volume",1
"336","4874","Q08","mass/volume",1
"337","4878","Q08","mass/volume",1
"338","4879","Q08","mass/volume",1
"339","4880","Q08","mass/volume",1
"340","4884","Q08","mass/volume",1
"341","4885","Q08","mass/volume",1
"342","4886","Q08","mass/volume",1
"343","4887","Q08","mass/volume",1
"344","4888","Q08","mass/volume",1
"345","4896","Q08","mass/volume",1
"346","4897","Q08","mass/volume",1
"347","4898","Q08","mass/volume",1
"348","4899","Q08","mass/volume",1
"349","4900","Q08","mass/volume",1
"350","4901","Q08","mass/volume",1
"351","4902","Q08","mass/volume",1
"352","4903","Q08","mass/volume",1
"353","4904","Q08","mass/volume",1
"354","4906","Q08","mass/volume",1
"355","4907","Q08","mass/volume",1
"356","4908","Q08","mass/volume",1
"357","4909","Q08","mass/volume",1
"358","4910","Q08","mass/volume",1
"359","4911","Q08","mass/volume",1
"360","4912","Q08","mass/volume",1
"361","4913","Q08","mass/volume",1
"362","4914","Q08","mass/volume",1
"363","4917","Q08","mass/volume",1
"364","4919","Q08","mass/volume",1
"365","4920","Q08","mass/volume",1
"366","4921","Q08","mass/volume",1
"367","4922","Q08","mass/volume",1
"368","4926","Q08","mass/volume",1
"369","4927","Q08","mass/volume",1
"370","5762","Q08","volume/mass",0
"371","8291","Q08","volume/mass",0
"372","?","Q08","mass/volume",1
"373","4272A","Q08","mass/volume",1
"374","4279F","Q08","mass/volume",1
"375","4281F","Q08","mass/volume",1
"376","4293F","Q08","mass/volume",1
"377","4294F","Q08","mass/volume",1
"378","4310R","Q08","mass/volume",1
"379","4381R","Q08","mass/volume",1
"380","4408F","Q08","mass/volume",1
"381","4419C","Q08","mass/volume",1
"382","4538F","Q08","mass X volume",0
"383","4571A","Q08","volume/mass",0
"384","459l","Q08","mass/volume",1
"385","4739B","Q08","mass/volume",1
"386","4755B","Q08","mass/volume",1
"387","4756B","Q08","mass/volume",1
"388","4760F","Q08","mass/volume",1
"389","4765F","Q08","mass/volume",1
"390","effe","Q08","mass/volume",1
"391","2919","Q09","Not sure",0.5
"392","4022","Q09","Not sure",0.5
"393","4219","Q09","Agree",1
"394","4224","Q09","Agree",1
"395","4229","Q09","Agree",1
"396","4230","Q09","Agree",1
"397","4232","Q09","Agree",1
"398","4235","Q09","Disagree",0
"399","4236","Q09","Agree",1
"400","4240","Q09","Not sure",0.5
"401","4241","Q09","Agree",1
"402","4242","Q09","Agree",1
"403","4243","Q09","Disagree",0
"404","4244","Q09","Disagree",0
"405","4245","Q09","Agree",1
"406","4246","Q09","Agree",1
"407","4247","Q09","Disagree",0
"408","4248","Q09","Agree",1
"409","4249","Q09","Agree",1
"410","4250","Q09","Agree",1
"411","4251","Q09","Disagree",0
"412","4254","Q09","Disagree",0
"413","4257","Q09","Disagree",0
"414","4258","Q09","Agree",1
"415","4259","Q09","Disagree",0
"416","4260","Q09","Agree",1
"417","4261","Q09","Disagree",0
"418","4262","Q09","Agree",1
"419","4264","Q09","Agree",1
"420","4267","Q09","Disagree",0
"421","4268","Q09","Agree",1
"422","4269","Q09","Disagree",0
"423","4271","Q09","Agree",1
"424","4272","Q09","Agree",1
"425","4273","Q09","Disagree",0
"426","4274","Q09","Agree",1
"427","4275","Q09","Agree",1
"428","4276","Q09","Disagree",0
"429","4277","Q09","Disagree",0
"430","4278","Q09","Agree",1
"431","4279","Q09","Agree",1
"432","4281","Q09","Disagree",0
"433","4282","Q09","Agree",1
"434","4283","Q09","Disagree",0
"435","4284","Q09","Agree",1
"436","4285","Q09","Agree",1
"437","4286","Q09","Agree",1
"438","4287","Q09","Disagree",0
"439","4288","Q09","Disagree",0
"440","4289","Q09","Agree",1
"441","4290","Q09","Agree",1
"442","4291","Q09","Agree",1
"443","4293","Q09","Agree",1
"444","4294","Q09","Not sure",0.5
"445","4295","Q09","Agree",1
"446","4297","Q09","Disagree",0
"447","4299","Q09","Agree",1
"448","4300","Q09","Disagree",0
"449","4301","Q09","Agree",1
"450","4302","Q09","Agree",1
"451","4304","Q09","Agree",1
"452","4305","Q09","Disagree",0
"453","4306","Q09","Disagree",0
"454","4309","Q09","Disagree",0
"455","4310","Q09","Agree",1
"456","4313","Q09","Agree",1
"457","4314","Q09","Agree",1
"458","4315","Q09","Agree",1
"459","4316","Q09","Disagree",0
"460","4318","Q09","Disagree",0
"461","4319","Q09","Agree",1
"462","4321","Q09","Agree",1
"463","4322","Q09","Disagree",0
"464","4323","Q09","Agree",1
"465","4324","Q09","Agree",1
"466","4326","Q09","Disagree",0
"467","4327","Q09","Disagree",0
"468","4328","Q09","Agree",1
"469","4333","Q09","Agree",1
"470","4334","Q09","Agree",1
"471","4335","Q09","Not sure",0.5
"472","4339","Q09","Agree",1
"473","4341","Q09","Agree",1
"474","4342","Q09","Agree",1
"475","4343","Q09","Agree",1
"476","4344","Q09","Agree",1
"477","4347","Q09","Agree",1
"478","4348","Q09","Disagree",0
"479","4350","Q09","Agree",1
"480","4352","Q09","Disagree",0
"481","4353","Q09","Agree",1
"482","4355","Q09","Disagree",0
"483","4356","Q09","Disagree",0
"484","4357","Q09","Agree",1
"485","4359","Q09","Agree",1
"486","4360","Q09","Disagree",0
"487","4362","Q09","Agree",1
"488","4363","Q09","Disagree",0
"489","4364","Q09","Agree",1
"490","4367","Q09","Agree",1
"491","4368","Q09","Agree",1
"492","4371","Q09","Agree",1
"493","4372","Q09","Agree",1
"494","4373","Q09","Agree",1
"495","4374","Q09","Agree",1
"496","4376","Q09","Agree",1
"497","4377","Q09","Disagree",0
"498","4378","Q09","Agree",1
"499","4379","Q09","Agree",1
"500","4380","Q09","Agree",1
"501","4382","Q09","Not sure",0.5
"502","4383","Q09","Agree",1
"503","4384","Q09","Agree",1
"504","4390","Q09","Disagree",0
"505","4391","Q09","Agree",1
"506","4394","Q09","Disagree",0
"507","4396","Q09","Agree",1
"508","4397","Q09","Agree",1
"509","4400","Q09","Agree",1
"510","4404","Q09","Agree",1
"511","4406","Q09","Agree",1
"512","4407","Q09","Agree",1
"513","4408","Q09","Not sure",0.5
"514","4410","Q09","Agree",1
"515","4411","Q09","Disagree",0
"516","4413","Q09","Agree",1
"517","4415","Q09","Agree",1
"518","4417","Q09","Disagree",0
"519","4418","Q09","Agree",1
"520","4419","Q09","Agree",1
"521","4421","Q09","Agree",1
"522","4422","Q09","Disagree",0
"523","4423","Q09","Agree",1
"524","4426","Q09","Agree",1
"525","4428","Q09","Agree",1
"526","4429","Q09","Disagree",0
"527","4430","Q09","Disagree",0
"528","4431","Q09","Disagree",0
"529","4432","Q09","Disagree",0
"530","4433","Q09","Agree",1
"531","4435","Q09","Disagree",0
"532","4436","Q09","Agree",1
"533","4437","Q09","Agree",1
"534","4440","Q09","Agree",1
"535","4447","Q09","Disagree",0
"536","4448","Q09","Agree",1
"537","4449","Q09","Agree",1
"538","4450","Q09","Agree",1
"539","4451","Q09","Disagree",0
"540","4452","Q09","Agree",1
"541","4453","Q09","Agree",1
"542","4454","Q09","Agree",1
"543","4455","Q09","Disagree",0
"544","4456","Q09","Disagree",0
"545","4457","Q09","Disagree",0
"546","4458","Q09","Agree",1
"547","4459","Q09","Agree",1
"548","4460","Q09","Agree",1
"549","4461","Q09","Not sure",0.5
"550","4465","Q09","Disagree",0
"551","4466","Q09","Not sure",0.5
"552","4467","Q09","Disagree",0
"553","4468","Q09","mass X volume",0
"554","4475","Q09","Not sure",0.5
"555","4476","Q09","Disagree",0
"556","4478","Q09","Not sure",0.5
"557","4479","Q09","Disagree",0
"558","4482","Q09","Not sure",0.5
"559","4485","Q09","Disagree",0
"560","4488","Q09","Disagree",0
"561","4490","Q09","Not sure",0.5
"562","4491","Q09","Disagree",0
"563","4492","Q09","Disagree",0
"564","4494","Q09","Agree",1
"565","4495","Q09","Disagree",0
"566","4498","Q09","Disagree",0
"567","4499","Q09","Not sure",0.5
"568","4500","Q09","Disagree",0
"569","4501","Q09","Not sure",0.5
"570","4502","Q09","Not sure",0.5
"571","4503","Q09","Disagree",0
"572","4504","Q09","Not sure",0.5
"573","4505","Q09","Not sure",0.5
"574","4507","Q09","Agree",1
"575","4509","Q09","Disagree",0
"576","4513","Q09","Disagree",0
"577","4514","Q09","Disagree",0
"578","4515","Q09","Not sure",0.5
"579","4517","Q09","Agree",1
"580","4518","Q09","Not sure",0.5
"581","4519","Q09","Not sure",0.5
"582","4524","Q09","Disagree",0
"583","4528","Q09","Not sure",0.5
"584","4531","Q09","Agree",1
"585","4533","Q09","Disagree",0
"586","4535","Q09","Disagree",0
"587","4536","Q09","Disagree",0
"588","4537","Q09","Disagree",0
"589","4538","Q09","Not sure",0.5
"590","4540","Q09","Agree",1
"591","4543","Q09","Disagree",0
"592","4545","Q09","Disagree",0
"593","4546","Q09","Agree",1
"594","4549","Q09","Disagree",0
"595","4550","Q09","Disagree",0
"596","4551","Q09","Agree",1
"597","4558","Q09","Agree",1
"598","4559","Q09","Agree",1
"599","4562","Q09","Agree",1
"600","4564","Q09","Agree",1
"601","4566","Q09","Agree",1
"602","4568","Q09","Agree",1
"603","4571","Q09","Not sure",0.5
"604","4574","Q09","Agree",1
"605","4578","Q09","Disagree",0
"606","4584","Q09","Agree",1
"607","4585","Q09","Agree",1
"608","4586","Q09","Agree",1
"609","4589","Q09","Agree",1
"610","4592","Q09","Disagree",0
"611","4596","Q09","Agree",1
"612","4597","Q09","Not sure",0.5
"613","4598","Q09","Agree",1
"614","4599","Q09","Agree",1
"615","4602","Q09","Not sure",0.5
"616","4606","Q09","Disagree",0
"617","4607","Q09","Agree",1
"618","4608","Q09","Agree",1
"619","4609","Q09","Disagree",0
"620","4610","Q09","Not sure",0.5
"621","4615","Q09","Not sure",0.5
"622","4616","Q09","Not sure",0.5
"623","4617","Q09","Disagree",0
"624","4619","Q09","Agree",1
"625","4621","Q09","Agree",1
"626","4626","Q09","Disagree",0
"627","4627","Q09","Not sure",0.5
"628","4656","Q09","Not sure",0.5
"629","4668","Q09","Disagree",0
"630","4686","Q09","Disagree",0
"631","4693","Q09","Disagree",0
"632","4697","Q09","Not sure",0.5
"633","4702","Q09","Agree",1
"634","4704","Q09","Agree",1
"635","4708","Q09","Agree",1
"636","4710","Q09","Agree",1
"637","4712","Q09","Disagree",0
"638","4716","Q09","Disagree",0
"639","4717","Q09","Not sure",0.5
"640","4720","Q09","Agree",1
"641","4722","Q09","Agree",1
"642","4723","Q09","Disagree",0
"643","4725","Q09","Agree",1
"644","4727","Q09","Disagree",0
"645","4730","Q09","Agree",1
"646","4734","Q09","Agree",1
"647","4737","Q09","Not sure",0.5
"648","4739","Q09","Agree",1
"649","4740","Q09","Agree",1
"650","4743","Q09","Agree",1
"651","4746","Q09","Agree",1
"652","4748","Q09","Disagree",0
"653","4750","Q09","Not sure",0.5
"654","4752","Q09","Agree",1
"655","4753","Q09","Disagree",0
"656","4754","Q09","Not sure",0.5
"657","4755","Q09","Agree",1
"658","4756","Q09","Agree",1
"659","4757","Q09","Not sure",0.5
"660","4758","Q09","Disagree",0
"661","4760","Q09","Agree",1
"662","4761","Q09","Disagree",0
"663","4762","Q09","Disagree",0
"664","4763","Q09","Agree",1
"665","4764","Q09","Agree",1
"666","4765","Q09","Not sure",0.5
"667","4767","Q09","Disagree",0
"668","4768","Q09","Agree",1
"669","4770","Q09","Agree",1
"670","4771","Q09","Not sure",0.5
"671","4773","Q09","Not sure",0.5
"672","4775","Q09","Agree",1
"673","4777","Q09","Disagree",0
"674","4778","Q09","Agree",1
"675","4779","Q09","Agree",1
"676","4780","Q09","Disagree",0
"677","4781","Q09","Agree",1
"678","4782","Q09","Disagree",0
"679","4783","Q09","Agree",1
"680","4784","Q09","Agree",1
"681","4785","Q09","Disagree",0
"682","4786","Q09","Agree",1
"683","4787","Q09","Not sure",0.5
"684","4789","Q09","Agree",1
"685","4795","Q09","Disagree",0
"686","4799","Q09","Disagree",0
"687","4801","Q09","Disagree",0
"688","4802","Q09","Disagree",0
"689","4803","Q09","Disagree",0
"690","4805","Q09","Not sure",0.5
"691","4806","Q09","Not sure",0.5
"692","4807","Q09","Agree",1
"693","4813","Q09","Disagree",0
"694","4814","Q09","Agree",1
"695","4815","Q09","Disagree",0
"696","4816","Q09","Agree",1
"697","4817","Q09","Agree",1
"698","4819","Q09","Disagree",0
"699","4821","Q09","Agree",1
"700","4822","Q09","Agree",1
"701","4824","Q09","Disagree",0
"702","4825","Q09","Disagree",0
"703","4826","Q09","Agree",1
"704","4828","Q09","Agree",1
"705","4829","Q09","Not sure",0.5
"706","4830","Q09","Agree",1
"707","4831","Q09","Disagree",0
"708","4832","Q09","Agree",1
"709","4833","Q09","Not sure",0.5
"710","4836","Q09","Agree",1
"711","4838","Q09","Agree",1
"712","4839","Q09","Agree",1
"713","4841","Q09","Agree",1
"714","4845","Q09","Disagree",0
"715","4846","Q09","Disagree",0
"716","4848","Q09","Agree",1
"717","4850","Q09","Agree",1
"718","4855","Q09","Disagree",0
"719","4860","Q09","Agree",1
"720","4861","Q09","Disagree",0
"721","4862","Q09","Agree",1
"722","4863","Q09","Not sure",0.5
"723","4868","Q09","Disagree",0
"724","4869","Q09","Agree",1
"725","4870","Q09","Disagree",0
"726","4871","Q09","Agree",1
"727","4874","Q09","Disagree",0
"728","4878","Q09","Agree",1
"729","4879","Q09","Agree",1
"730","4880","Q09","Agree",1
"731","4884","Q09","Disagree",0
"732","4885","Q09","Agree",1
"733","4886","Q09","Agree",1
"734","4887","Q09","Agree",1
"735","4888","Q09","Agree",1
"736","4896","Q09","Agree",1
"737","4897","Q09","Agree",1
"738","4898","Q09","Agree",1
"739","4899","Q09","Agree",1
"740","4900","Q09","Agree",1
"741","4901","Q09","Agree",1
"742","4902","Q09","Agree",1
"743","4903","Q09","Disagree",0
"744","4904","Q09","Agree",1
"745","4906","Q09","Agree",1
"746","4907","Q09","Not sure",0.5
"747","4908","Q09","Agree",1
"748","4909","Q09","Agree",1
"749","4910","Q09","Not sure",0.5
"750","4911","Q09","Agree",1
"751","4912","Q09","Agree",1
"752","4913","Q09","Agree",1
"753","4914","Q09","Agree",1
"754","4917","Q09","Agree",1
"755","4919","Q09","Agree",1
"756","4920","Q09","Agree",1
"757","4921","Q09","Agree",1
"758","4922","Q09","Agree",1
"759","4926","Q09","Agree",1
"760","4927","Q09","Agree",1
"761","5762","Q09","Agree",1
"762","8291","Q09","Disagree",0
"763","?","Q09","Not sure",0.5
"764","4272A","Q09","Agree",1
"765","4279F","Q09","Disagree",0
"766","4281F","Q09","Not sure",0.5
"767","4293F","Q09","Agree",1
"768","4294F","Q09","Agree",1
"769","4310R","Q09","Disagree",0
"770","4368F","Q09","mass/volume",1
"771","4381R","Q09","Agree",1
"772","4408F","Q09","Not sure",0.5
"773","4419C","Q09","Agree",1
"774","4538F","Q09","Agree",1
"775","4571A","Q09","Agree",1
"776","459l","Q09","Agree",1
"777","4739B","Q09","Disagree",0
"778","4755B","Q09","Agree",1
"779","4756B","Q09","Agree",1
"780","4760F","Q09","Disagree",0
"781","4765F","Q09","Not sure",0.5
"782","effe","Q09","Disagree",0
"783","4219","Q10","Because density is a property of the matter, and it can change only if we changed the temperature or pressure",1
"784","4224","Q10","Because density is a property of the matter, and it can change only if we changed the temperature or pressure",1
"785","4229","Q10","Because density is a property of the matter, and it can never change",0
"786","4230","Q10","Because density is a property of the matter, and it can never change",0
"787","4232","Q10","Because density is a property of the matter, and it can change only if we changed the temperature or pressure",1
"788","4235","Q10","Because density is a property of the matter, and it can change only if we changed the temperature or pressure",1
"789","4236","Q10","Because density is a property of the matter, and it can never change",0
"790","4241","Q10","Because density is a property of the matter, and it can change only if we changed the temperature or pressure",1
"791","4242","Q10","Because density is a property of the matter, and it can never change",0
