"","ID","Question","Response.x","PreValue","Response.y","PostValue"
"203","4619","Q08","mass/volume",1,"volume/mass",0
"204","4592","Q08","mass/volume",1,"mass/volume",1
"205","4598","Q08","mass/volume",1,"mass/volume",1
"206","4419","Q08","mass/volume",1,"mass/volume",1
"207","4686","Q08","volume/mass",0,"mass/volume",1
"208","4656","Q08","mass/volume",1,"mass/volume",1
"209","4668","Q08","mass/volume",1,"mass/volume",1
"210","4297","Q08","mass/volume",1,"mass/volume",1
"211","4712","Q08","mass/volume",1,"mass/volume",1
"212","4702","Q08","mass/volume",1,"mass/volume",1
"213","4693","Q08","mass/volume",1,"mass/volume",1
"214","4704","Q08","volume/mass",0,"mass/volume",1
"215","4771","Q08","mass/volume",1,"mass/volume",1
"216","4697","Q08","mass X volume",0,"volume/mass",0
"217","4717","Q08","mass/volume",1,"mass/volume",1
"218","4723","Q08","mass/volume",1,"mass/volume",1
"219","4716","Q08","mass/volume",1,"mass/volume",1
"220","4730","Q08","mass/volume",1,"mass/volume",1
"221","4725","Q08","mass/volume",1,"mass/volume",1
"222","4720","Q08","mass/volume",1,"mass/volume",1
"223","4606","Q08","mass/volume",1,"mass/volume",1
"224","4727","Q08","volume/mass",0,"mass/volume",1
"225","4722","Q08","mass/volume",1,"mass/volume",1
"226","4737","Q08","volume/mass",0,"mass/volume",1
"227","4768","Q08","mass/volume",1,"mass/volume",1
"228","4762","Q08","mass/volume",1,"volume/mass",0
"229","4764","Q08","mass/volume",1,"mass/volume",1
"230","4758","Q08","volume/mass",0,"volume/mass",0
"231","4761","Q08","mass/volume",1,"mass/volume",1
"232","4756B","Q08","mass/volume",1,"mass/volume",1
"233","4755B","Q08","volume/mass",0,"mass/volume",1
"234","4710","Q08","mass/volume",1,"mass/volume",1
"235","4746","Q08","volume/mass",0,"mass/volume",1
"236","4739","Q08","mass/volume",1,"mass/volume",1
"237","4754","Q08","mass X volume",0,"mass/volume",1
"238","4755","Q08","mass X volume",0,"mass/volume",1
"239","4750","Q08","mass X volume",0,"mass/volume",1
"240","4748","Q08","mass/volume",1,"volume/mass",0
"241","4753","Q08","volume/mass",0,"volume/mass",0
"242","4743","Q08","mass/volume",1,"mass/volume",1
"243","4760","Q08","mass/volume",1,"mass/volume",1
"244","4767","Q08","mass/volume",1,"mass/volume",1
"245","4778","Q08","mass/volume",1,"volume/mass",0
"246","4777","Q08","mass X volume",0,"mass/volume",1
"247","4763","Q08","mass/volume",1,"mass/volume",1
"248","4768","Q08","mass/volume",1,"mass/volume",1
"249","4773","Q08","mass X volume",0,"mass/volume",1
"250","4765","Q08","volume/mass",0,"mass/volume",1
"251","4764","Q08","mass X volume",0,"mass/volume",1
"252","4770","Q08","mass/volume",1,"mass/volume",1
"253","4775","Q08","volume/mass",0,"mass/volume",1
"254","4771","Q08","mass/volume",1,"mass/volume",1
"255","4740","Q08","mass/volume",1,"mass/volume",1
"256","4824","Q08","volume/mass",0,"mass X volume",0
"257","4816","Q08","mass/volume",1,"volume/mass",0
"258","4817","Q08","mass/volume",1,"volume/mass",0
"259","4824","Q08","mass X volume",0,"mass X volume",0
"260","4815","Q08","mass/volume",1,"mass/volume",1
"261","4825","Q08","mass X volume",0,"volume/mass",0
"262","4819","Q08","volume/mass",0,"volume/mass",0
"263","4822","Q08","mass/volume",1,"volume/mass",0
"264","4821","Q08","mass/volume",1,"mass/volume",1
"265","4781","Q08","mass/volume",1,"volume/mass",0
"266","4789","Q08","volume/mass",0,"mass/volume",1
"267","4782","Q08","mass/volume",1,"mass/volume",1
"268","4786","Q08","mass/volume",1,"mass/volume",1
"269","4783","Q08","mass/volume",1,"mass/volume",1
"270","4787","Q08","mass/volume",1,"mass/volume",1
"271","4785","Q08","mass/volume",1,"mass/volume",1
"272","4780","Q08","mass/volume",1,"mass/volume",1
"273","4784","Q08","mass/volume",1,"mass/volume",1
"274","4779","Q08","mass/volume",1,"mass/volume",1
"275","4756","Q08","mass/volume",1,"mass/volume",1
"276","4795","Q08","mass/volume",1,"mass/volume",1
"277","4805","Q08","mass X volume",0,"mass/volume",1
"278","4799","Q08","mass/volume",1,"mass/volume",1
"279","4806","Q08","mass/volume",1,"mass/volume",1
"280","4807","Q08","mass/volume",1,"mass/volume",1
"281","4803","Q08","mass/volume",1,"mass/volume",1
"282","4802","Q08","mass/volume",1,"mass/volume",1
"283","4813","Q08","mass/volume",1,"mass/volume",1
"284","4801","Q08","mass X volume",0,"mass/volume",1
"285","4836","Q08","mass X volume",0,"mass/volume",1
"286","4832","Q08","mass X volume",0,"mass X volume",0
"287","4838","Q08","mass/volume",1,"mass/volume",1
"288","4833","Q08","mass X volume",0,"volume/mass",0
"289","4828","Q08","volume/mass",0,"mass/volume",1
"290","4831","Q08","mass/volume",1,"mass/volume",1
"291","4826","Q08","mass X volume",0,"mass/volume",1
"292","4829","Q08","mass X volume",0,"mass/volume",1
"293","4830","Q08","mass X volume",0,"mass/volume",1
"294","4846","Q08","mass/volume",1,"mass/volume",1
"295","4855","Q08","volume/mass",0,"mass/volume",1
"296","4850","Q08","volume/mass",0,"mass/volume",1
"297","4845","Q08","mass/volume",1,"mass/volume",1
"298","4848","Q08","mass/volume",1,"mass/volume",1
"299","4839","Q08","mass/volume",1,"volume/mass",0
"300","4752","Q08","mass/volume",1,"mass/volume",1
"301","4871","Q08","mass X volume",0,"mass/volume",1
"302","4874","Q08","mass/volume",1,"mass/volume",1
"303","4863","Q08","mass/volume",1,"mass/volume",1
"304","4860","Q08","mass/volume",1,"volume/mass",0
"305","4869","Q08","mass/volume",1,"mass/volume",1
"306","4862","Q08","mass/volume",1,"mass/volume",1
"307","4870","Q08","mass X volume",0,"mass/volume",1
"308","4868","Q08","mass/volume",1,"mass/volume",1
"309","4861","Q08","volume/mass",0,"volume/mass",0
"310","4899","Q08","volume/mass",0,"mass/volume",1
"311","4898","Q08","mass/volume",1,"mass/volume",1
"312","4879","Q08","volume/mass",0,"mass/volume",1
"313","4919","Q08","mass/volume",1,"mass/volume",1
"314","4879","Q08","mass/volume",1,"mass/volume",1
"315","4913","Q08","mass/volume",1,"mass/volume",1
"316","4897","Q08","mass/volume",1,"mass/volume",1
"317","4911","Q08","mass/volume",1,"mass/volume",1
"318","4904","Q08","mass/volume",1,"mass/volume",1
"319","4910","Q08","mass/volume",1,"mass/volume",1
"320","4901","Q08","mass/volume",1,"mass/volume",1
"321","4884","Q08","mass/volume",1,"mass/volume",1
"322","4898","Q08","mass/volume",1,"mass/volume",1
"323","4917","Q08","mass/volume",1,"mass/volume",1
"324","4908","Q08","mass/volume",1,"mass/volume",1
"325","4900","Q08","mass/volume",1,"mass/volume",1
"326","4922","Q08","mass/volume",1,"mass/volume",1
"327","4906","Q08","mass/volume",1,"mass/volume",1
"328","4899","Q08","mass/volume",1,"mass/volume",1
"329","4885","Q08","mass/volume",1,"mass/volume",1
"330","4914","Q08","mass/volume",1,"mass/volume",1
"331","4921","Q08","mass/volume",1,"mass/volume",1
"332","4903","Q08","mass/volume",1,"mass/volume",1
"333","4902","Q08","mass/volume",1,"mass/volume",1
"334","4909","Q08","mass/volume",1,"mass/volume",1
"335","4912","Q08","mass/volume",1,"mass/volume",1
"336","4926","Q08","mass/volume",1,"mass/volume",1
"337","4886","Q08","mass/volume",1,"mass/volume",1
"338","4907","Q08","mass/volume",1,"mass/volume",1
"339","4888","Q08","mass/volume",1,"mass/volume",1
"340","4896","Q08","mass/volume",1,"mass/volume",1
"341","4927","Q08","mass/volume",1,"mass/volume",1
"342","4878","Q08","mass/volume",1,"mass/volume",1
"343","4880","Q08","mass/volume",1,"mass/volume",1
"344","4920","Q08","mass/volume",1,"mass/volume",1
"345","4887","Q08","mass/volume",1,"mass/volume",1
"346","4232","Q09","Disagree",0,"Agree",1
"347","4230","Q09","Not sure",0.5,"Agree",1
"348","4219","Q09","Agree",1,"Agree",1
"349","4229","Q09","Disagree",0,"Agree",1
"350","4236","Q09","Disagree",0,"Agree",1
"351","4254","Q09","Not sure",0.5,"Disagree",0
"352","4267","Q09","Not sure",0.5,"Disagree",0
"353","4261","Q09","Agree",1,"Disagree",0
"354","4246","Q09","Agree",1,"Agree",1
"355","4251","Q09","Not sure",0.5,"Disagree",0
"356","4241","Q09","Disagree",0,"Agree",1
"357","4247","Q09","Disagree",0,"Disagree",0
"358","4244","Q09","Disagree",0,"Disagree",0
"359","4257","Q09","Disagree",0,"Disagree",0
"360","4259","Q09","Agree",1,"Disagree",0
"361","4242","Q09","Agree",1,"Agree",1
"362","4276","Q09","Agree",1,"Disagree",0
"363","4272","Q09","Disagree",0,"Agree",1
"364","4284","Q09","Disagree",0,"Agree",1
"365","4294F","Q09","Disagree",0,"Agree",1
"366","4287","Q09","Disagree",0,"Disagree",0
"367","4275","Q09","Agree",1,"Agree",1
"368","4273","Q09","Agree",1,"Disagree",0
"369","4289","Q09","Agree",1,"Agree",1
"370","4277","Q09","Agree",1,"Disagree",0
"371","4286","Q09","Not sure",0.5,"Agree",1
"372","4285","Q09","Agree",1,"Agree",1
"373","4293F","Q09","Disagree",0,"Agree",1
"374","4243","Q09","Disagree",0,"Disagree",0
"375","4271","Q09","Agree",1,"Agree",1
"376","4264","Q09","Not sure",0.5,"Agree",1
"377","4268","Q09","Disagree",0,"Agree",1
"378","4258","Q09","Agree",1,"Agree",1
"379","4249","Q09","Disagree",0,"Agree",1
"380","4240","Q09","Agree",1,"Not sure",0.5
"381","4260","Q09","Disagree",0,"Agree",1
"382","4269","Q09","Agree",1,"Disagree",0
"383","4248","Q09","Agree",1,"Agree",1
"384","4290","Q09","Agree",1,"Agree",1
"385","4283","Q09","Agree",1,"Disagree",0
"386","4288","Q09","Agree",1,"Disagree",0
"387","4321","Q09","Not sure",0.5,"Agree",1
"388","4300","Q09","Not sure",0.5,"Disagree",0
"389","4304","Q09","Disagree",0,"Agree",1
"390","4322","Q09","Not sure",0.5,"Disagree",0
"391","4313","Q09","Agree",1,"Agree",1
"392","4315","Q09","Not sure",0.5,"Agree",1
"393","4319","Q09","Not sure",0.5,"Agree",1
"394","4318","Q09","Agree",1,"Disagree",0
"395","4301","Q09","Agree",1,"Agree",1
"396","4294","Q09","Not sure",0.5,"Not sure",0.5
"397","4309","Q09","Agree",1,"Disagree",0
"398","4302","Q09","Not sure",0.5,"Agree",1
"399","4278","Q09","Agree",1,"Agree",1
"400","4291","Q09","Agree",1,"Agree",1
"401","4293","Q09","Not sure",0.5,"Agree",1
"402","4327","Q09","Disagree",0,"Disagree",0
"403","4343","Q09","Not sure",0.5,"Agree",1
"404","4328","Q09","Disagree",0,"Agree",1
"405","4324","Q09","Agree",1,"Agree",1
"406","4348","Q09","Agree",1,"Disagree",0
"407","4347","Q09","Agree",1,"Agree",1
"408","4339","Q09","Disagree",0,"Agree",1
"409","4353","Q09","Disagree",0,"Agree",1
"410","4367","Q09","Agree",1,"Agree",1
"411","4357","Q09","Agree",1,"Agree",1
"412","4373","Q09","Agree",1,"Agree",1
"413","4359","Q09","Agree",1,"Agree",1
"414","4352","Q09","Disagree",0,"Disagree",0
"415","4362","Q09","Not sure",0.5,"Agree",1
"416","4363","Q09","Agree",1,"Disagree",0
"417","4356","Q09","Agree",1,"Disagree",0
"418","4364","Q09","Agree",1,"Agree",1
"419","4355","Q09","Agree",1,"Disagree",0
"420","4342","Q09","Agree",1,"Agree",1
"421","4391","Q09","Not sure",0.5,"Agree",1
"422","4390","Q09","Agree",1,"Disagree",0
"423","4384","Q09","Disagree",0,"Agree",1
"424","4380","Q09","Agree",1,"Agree",1
"425","4394","Q09","Disagree",0,"Disagree",0
"426","4383","Q09","Agree",1,"Agree",1
"427","4382","Q09","Not sure",0.5,"Not sure",0.5
"428","4379","Q09","Agree",1,"Agree",1
"429","4376","Q09","Disagree",0,"Agree",1
"430","4404","Q09","Agree",1,"Agree",1
"431","4410","Q09","Agree",1,"Agree",1
"432","4411","Q09","Agree",1,"Disagree",0
"433","4406","Q09","Agree",1,"Agree",1
"434","4400","Q09","Disagree",0,"Agree",1
"435","4396","Q09","Agree",1,"Agree",1
"436","4407","Q09","Not sure",0.5,"Agree",1
"437","4413","Q09","Agree",1,"Agree",1
"438","4397","Q09","Not sure",0.5,"Agree",1
"439","4429","Q09","Agree",1,"Disagree",0
"440","4428","Q09","Agree",1,"Agree",1
"441","4433","Q09","Agree",1,"Agree",1
"442","4423","Q09","Disagree",0,"Agree",1
"443","4436","Q09","Agree",1,"Agree",1
"444","4430","Q09","Disagree",0,"Disagree",0
"445","4431","Q09","Disagree",0,"Disagree",0
"446","4437","Q09","Not sure",0.5,"Agree",1
"447","4426","Q09","Disagree",0,"Agree",1
"448","4440","Q09","Agree",1,"Agree",1
"449","4432","Q09","Disagree",0,"Disagree",0
"450","4449","Q09","Disagree",0,"Agree",1
"451","4435","Q09","Agree",1,"Disagree",0
"452","4448","Q09","Agree",1,"Agree",1
"453","4455","Q09","Agree",1,"Disagree",0
"454","4451","Q09","Disagree",0,"Disagree",0
"455","4447","Q09","Disagree",0,"Disagree",0
"456","4459","Q09","Agree",1,"Agree",1
"457","4457","Q09","Agree",1,"Disagree",0
"458","4456","Q09","Agree",1,"Disagree",0
"459","4454","Q09","Agree",1,"Agree",1
"460","4458","Q09","Agree",1,"Agree",1
"461","4460","Q09","Agree",1,"Agree",1
"462","4450","Q09","Disagree",0,"Agree",1
"463","4453","Q09","Not sure",0.5,"Agree",1
"464","4452","Q09","Agree",1,"Agree",1
"465","4408","Q09","Not sure",0.5,"Not sure",0.5
"466","4490","Q09","Not sure",0.5,"Not sure",0.5
"467","4465","Q09","Disagree",0,"Disagree",0
"468","4467","Q09","Agree",1,"Disagree",0
"469","4507","Q09","Disagree",0,"Agree",1
"470","4518","Q09","Not sure",0.5,"Not sure",0.5
"471","4503","Q09","Not sure",0.5,"Disagree",0
"472","4479","Q09","Agree",1,"Disagree",0
"473","4524","Q09","Agree",1,"Disagree",0
"474","4485","Q09","Not sure",0.5,"Disagree",0
"475","4476","Q09","Disagree",0,"Disagree",0
"476","4482","Q09","Disagree",0,"Not sure",0.5
"477","4498","Q09","Agree",1,"Disagree",0
"478","4500","Q09","Agree",1,"Disagree",0
"479","4513","Q09","Not sure",0.5,"Disagree",0
"480","4492","Q09","Not sure",0.5,"Disagree",0
"481","4461","Q09","Disagree",0,"Not sure",0.5
"482","4494","Q09","Agree",1,"Agree",1
"483","4514","Q09","Disagree",0,"Disagree",0
"484","4517","Q09","Agree",1,"Agree",1
"485","4515","Q09","Not sure",0.5,"Not sure",0.5
"486","4488","Q09","Agree",1,"Disagree",0
"487","4478","Q09","Agree",1,"Not sure",0.5
"488","4502","Q09","Not sure",0.5,"Not sure",0.5
"489","4509","Q09","Not sure",0.5,"Disagree",0
"490","4501","Q09","Not sure",0.5,"Not sure",0.5
"491","4499","Q09","Disagree",0,"Not sure",0.5
"492","4505","Q09","Agree",1,"Not sure",0.5
"493","4495","Q09","Not sure",0.5,"Disagree",0
"494","4344","Q09","Agree",1,"Agree",1
"495","4279","Q09","Agree",1,"Agree",1
"496","4341","Q09","Agree",1,"Agree",1
"497","4279","Q09","Agree",1,"Agree",1
"498","4281","Q09","Not sure",0.5,"Disagree",0
"499","4245","Q09","Agree",1,"Agree",1
"500","4335","Q09","Agree",1,"Not sure",0.5
"501","4326","Q09","Not sure",0.5,"Disagree",0
"502","4334","Q09","Agree",1,"Agree",1
"503","4360","Q09","Not sure",0.5,"Disagree",0
"504","4350","Q09","Disagree",0,"Agree",1
"505","4562","Q09","Agree",1,"Agree",1
"506","4564","Q09","Agree",1,"Agree",1
"507","4537","Q09","Agree",1,"Disagree",0
"508","4558","Q09","Not sure",0.5,"Agree",1
"509","4550","Q09","Disagree",0,"Disagree",0
"510","4536","Q09","Not sure",0.5,"Disagree",0
"511","4571","Q09","Not sure",0.5,"Not sure",0.5
"512","4571","Q09","Not sure",0.5,"Not sure",0.5
"513","4566","Q09","Disagree",0,"Agree",1
"514","4546","Q09","Disagree",0,"Agree",1
"515","4535","Q09","Not sure",0.5,"Disagree",0
"516","4540","Q09","Agree",1,"Agree",1
"517","4549","Q09","Disagree",0,"Disagree",0
"518","4568","Q09","Disagree",0,"Agree",1
"519","4543","Q09","Agree",1,"Disagree",0
"520","4574","Q09","Not sure",0.5,"Agree",1
"521","4559","Q09","Disagree",0,"Agree",1
"522","4531","Q09","Agree",1,"Agree",1
"523","4545","Q09","Agree",1,"Disagree",0
"524","4533","Q09","Disagree",0,"Disagree",0
"525","4374","Q09","Disagree",0,"Agree",1
"526","4314","Q09","Agree",1,"Agree",1
"527","4305","Q09","Disagree",0,"Disagree",0
"528","4281","Q09","Agree",1,"Disagree",0
"529","4316","Q09","Disagree",0,"Disagree",0
"530","4372","Q09","Disagree",0,"Agree",1
"531","4310","Q09","Disagree",0,"Agree",1
"532","4371","Q09","Not sure",0.5,"Agree",1
